"ACE OF ACES","SIMULADOR","3"
"ESCAPE FROM SINGE'S CASTLE","ARCADE","3"
"WHAM! THE MUSIC BOX","UTILIDAD","3"
"SIGMA 7","ARCADE","3"
"NEMESIS","ARCADE","3"
"AVENGER","VIDEOAVENTURA","5"
"TRAILBLAZER","ARCADE","5"
"FROST BYTE","VIDEOAVENTURA","5"
"HEARTLAND","VIDEOAVENTURA","4"
"ESPIONAGE ISLAND","CONVERSACIONAL","0"
"EL MISTERIO DEL NILO","ARCADE","4"
"PLANET OF DEATH","CONVERSACIONAL","F"
"SHORT CIRCUIT","ARCADE","4"
"FERNANDO MARTIN BASKET MASTER","ARCADE","4"
"DINAMITE DAN II","ARCADE","4"
"BAZOOKA BILL","ARCADE","2"
"SABOTEUR II","VIDEOAVENTURA","2"
"SHADOW SKIMMER","ARCADE","2"
"TAU CETI","ARCADE","5"
"ACADEMY","ARCADE","5-28"
"ARCHON","ARCADE","5"
"LEADER BOARD","SIMULADOR","4"
"NONAMED","ARCADE","4"
"RAMON RODRIGUEZ","ARCADE","5"
"WORLD DESTRUCTION","ARCADE","5"
"CONTABILIDAD PERSONAL","UTILIDAD","5"
"ART STUDIO","UTILIDAD","6"
"DUSTIN","VIDEOAVENTURA","3"
"THE SACRED ARMOUR OF ANTIRIAD","VIDEOAVENTURA","7"
"INTERNATIONAL RUGBY","ARCADE","3"
"DEATH WAKE","ARCADE","6"
"BIG BEN STRIKE AGAIN","ARCADE","3"
"TALES OF ARABIAN NIGHTS","ARCADE","6"
"A VIEW TO A KILL","ARCADE","6-26"
"WILLY'S NEW HAT","ARCADE","6"
"SPELLBOUND","ARCADE","6"
"STARBIKE","ARCADE","7"
"FIST II","VIDEOAVENTURA","1"
"TRASHMAN","ARCADE","5"
"ONMICOPY 2","UTILIDAD","7"
"INCA CURSE","CONVERSACIONAL","Z"
"SPEED DUEL","ARCADE","6"
"FILECARD","UTILIDAD","6"
"ESTADISTICA","UTILIDAD","5"
"THE KET TRILOGY","CONVERSACIONAL","6"
"COSMIC DEBRIS","ARCADE","1"
"TRADER TRILOGY","ARCADE","6"
"DREAD NOUGHTS","ESTRATEGIA","6"
"DIMENSION DESTRUCTORS","ARCADE","5"
"JAWZ","ARCADE","N"
"STORM FIGHTERS","ARCADE","N"
"EL CUBO MAGICO","JUEGO DE MESA","2"
"BULLS EYE","JUEGO DE MESA","4"
"STOCK MARKET","ESTRATEGIA","4"
"THE ORACLE'S CAVE","CONVERSACIONAL","6"
"HEATHROW","SIMULADOR","3"
"BLADE ALLEY","ARCADE","6"
"DRAGON'S BANE","CONVERSACIONAL","1"
"HEAD OVER HEELS","VIDEOAVENTURA","7"
"SPIRITS","VIDEOAVENTURA","7"
"AUFWIEDERSEHEN MONTY","ARCADE","7"
"SUPERSOCCER","ARCADE","7"
"HEAVY OF THE MAGIC","CONVERSACIONAL","7"
"ROBOT MESSIAH","VIDEOAVENTURA","7"
"MS. PAC-MAN","ARCADE","7"
"ALIEN HIGHWAY","ARCADE","7"
"BRAINSTORM","ARCADE","7"
"GUNRUNNER","ARCADE","7-32"
"CHOPPER RESCUE","ARCADE","7"
"STRIKE","ARCADE","8"
"BISMARCK","ESTRATEGIA","8"
"METROCROSS","ARCADE","8-32"
"BARBARIAN","ARCADE","8"
"DAN DARE","ARCADE","8"
"HIDROFOOL","VIDEOAVENTURA","8"
"MAG MAX","ARCADE","8-32"
"NICK FALDO PLAYS THE OPEN","S. DEPORTIVO","8"
"BENNY HILL","ARCADE","8"
"BACK TO THE FUTURE","ARCADE","8"
"INFILTRATOR","ARCADE","8"
"KANE","ARCADE","9"
"COLOUR OF MAGIC","CONVERSACIONAL","9"
"DOUBLE TAKE","VIDEOAVENTURA","9"
"MARBLE MADNESS","ARCADE","9"
"HARD GUY","ARCADE","9"
"JUDGE DREDD","ARCADE","9"
"SKY RUNNER","ARCADE","9"
"RANARAMA","ARCADE","9"
"NEMESIS THE WARLOCK","ARCADE","9"
"WORLD GAMES","ARCADE","10"
"STAR RAIDERS II","ARCADE","10"
"KNUCKLE BUSTERS","ARCADE","10"
"BORER DEEP","ARCADE","7"
"LIVINSTONE SUPONGO","VIDEOAVENTURA","10"
"COSA NOSTRA","ARCADE","10"
"CONTACT SAM CRUISE","VIDEOAVENTURA","10"
"ACROJET","SIMULADOR","10"
"IMPOSSABALL","ARCADE","11"
"STAR GLIDER","ARCADE","11"
"FUTURE GAMES","ARCADE","11"
"SAMURAI","ESTRATEGIA","11"
"HYPABALL","ARCADE","11"
"DIGGER DAN","ARCADE","8"
"DR. WHAT","VIDEOAVENTURA","11"
"GLIDER RIDER","ARCADE","11"
"GALLIPOLI","ESTRATEGIA","11"
"JOHNNY REB II","ESTRATEGIA","11"
"MALVINAS 82","ESTRATEGIA","11"
"PSI 5 TRADING COMPANY","ESTRATEGIA","12"
"SAILING","SIMULADOR","12"
"TRANSMUTER","ARCADE","12"
"MIAMI DICE","JUEGO DE MESA","12"
"SURVIVOR","ARCADE","12"
"ONE MAN AND HIS DROID","ARCADE","12"
"ICE TEMPLE","VIDEOAVENTURA","12"
"KAI TEMPLE","ARCADE","12"
"MEGABUCKS","VIDEOAVENTURA","12"
"MARTIANOIDS","ARCADE","12"
"THE INCREDIBLE S. FIREMAN","VIDEOAVENTURA","10"
